Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
UConn Huskies,Villanova Wildcats,DraftKings,h2h,UConn Huskies,1.8
UConn Huskies,Villanova Wildcats,DraftKings,h2h,Villanova Wildcats,1.95
UConn Huskies,Villanova Wildcats,DraftKings,spreads,UConn Huskies,1.91
UConn Huskies,Villanova Wildcats,DraftKings,spreads,Villanova Wildcats,1.83
UConn Huskies,Villanova Wildcats,FanDuel,h2h,UConn Huskies,1.77
UConn Huskies,Villanova Wildcats,FanDuel,h2h,Villanova Wildcats,2.02
UConn Huskies,Villanova Wildcats,FanDuel,spreads,UConn Huskies,1.88
UConn Huskies,Villanova Wildcats,FanDuel,spreads,Villanova Wildcats,1.88
UConn Huskies,Villanova Wildcats,BetMGM,h2h,UConn Huskies,1.91
UConn Huskies,Villanova Wildcats,BetMGM,h2h,Villanova Wildcats,1.85
UConn Huskies,Villanova Wildcats,BetMGM,spreads,UConn Huskies,1.77
UConn Huskies,Villanova Wildcats,BetMGM,spreads,Villanova Wildcats,2.0
UConn Huskies,Villanova Wildcats,Bovada,h2h,UConn Huskies,1.77
UConn Huskies,Villanova Wildcats,Bovada,h2h,Villanova Wildcats,2.0
UConn Huskies,Villanova Wildcats,Bovada,spreads,UConn Huskies,1.83
UConn Huskies,Villanova Wildcats,Bovada,spreads,Villanova Wildcats,1.91
UConn Huskies,Villanova Wildcats,BetRivers,h2h,UConn Huskies,1.72
UConn Huskies,Villanova Wildcats,BetRivers,h2h,Villanova Wildcats,1.96
UConn Huskies,Villanova Wildcats,BetRivers,spreads,UConn Huskies,1.83
UConn Huskies,Villanova Wildcats,BetRivers,spreads,Villanova Wildcats,1.83
Bellarmine Knights,Austin Peay Governors,FanDuel,spreads,Austin Peay Governors,1.82
Bellarmine Knights,Austin Peay Governors,FanDuel,spreads,Bellarmine Knights,1.94
Bellarmine Knights,Austin Peay Governors,DraftKings,spreads,Austin Peay Governors,1.91
Bellarmine Knights,Austin Peay Governors,DraftKings,spreads,Bellarmine Knights,1.83
Bellarmine Knights,Austin Peay Governors,BetRivers,spreads,Austin Peay Governors,1.8
Bellarmine Knights,Austin Peay Governors,BetRivers,spreads,Bellarmine Knights,1.83
Bellarmine Knights,Austin Peay Governors,BetMGM,h2h,Austin Peay Governors,34.0
Bellarmine Knights,Austin Peay Governors,BetMGM,h2h,Bellarmine Knights,1.01
Bellarmine Knights,Austin Peay Governors,BetMGM,spreads,Austin Peay Governors,1.91
Bellarmine Knights,Austin Peay Governors,BetMGM,spreads,Bellarmine Knights,1.85
Bellarmine Knights,Austin Peay Governors,Bovada,spreads,Austin Peay Governors,1.91
