YEAR,TEAM,NET RPI,RESUME,B POWER,R SCORE,Champion
2025,Akron,91,112,104.0,0.02,No
2025,Alabama,6,2,5.7,99.92,No
2025,Alabama St.,274,265,274.3,0.0,No
2025,American,225,225,236.0,0.0,No
2025,Arizona,12,10,10.7,99.69,No
2025,Arkansas,42,37,41.7,76.84,No
2025,Auburn,2,1,3.3,99.95,No
2025,Baylor,31,40,25.0,79.67,No
2025,Bryant,139,206,144.3,0.0,No
2025,BYU,25,21,20.7,98.77,No
2025,Clemson,22,35,18.0,98.72,No
2025,Colorado St.,46,55,44.3,43.19,No
2025,Connecticut,32,26,28.7,95.27,No
2025,Creighton,39,32,32.0,92.27,No
2025,Drake,58,74,63.0,30.63,No
2025,Duke,1,9,1.3,99.97,No
2025,Florida,3,4,3.3,99.95,No
2025,Georgia,33,33,34.0,90.79,No
2025,Gonzaga,8,47,10.0,97.62,No
2025,Grand Canyon,92,123,87.7,0.01,No
2025,High Point,82,141,83.3,0.03,No
2025,Houston,4,3,2.0,99.96,No
2025,Illinois,17,16,22.0,98.77,No
2025,Iowa St.,9,19,8.3,99.71,No
2025,Kansas,20,23,18.3,98.64,No
2025,Kentucky,15,8,16.7,99.69,No
2025,Liberty,60,100,67.7,1.14,No
2025,Lipscomb,84,142,97.0,0.0,No
2025,Louisville,23,38,23.3,97.89,No
2025,Marquette,27,30,26.3,97.21,No
2025,Maryland,10,18,12.0,99.67,No
2025,McNeese St.,59,110,62.7,0.6,No
2025,Memphis,51,34,53.0,90.46,No
2025,Michigan,24,7,27.0,99.18,No
2025,Michigan St.,11,6,10.7,99.89,No
2025,Mississippi,28,14,28.3,98.79,No
2025,Mississippi St.,34,29,33.0,92.27,No
2025,Missouri,16,24,20.7,98.55,No
2025,Montana,145,114,154.3,0.0,No
2025,Mount St. Mary's,234,264,250.7,0.0,No
2025,Nebraska Omaha,160,181,164.3,0.0,No
2025,New Mexico,41,46,43.3,76.98,No
2025,Norfolk St.,183,161,182.0,0.0,No
2025,North Carolina,36,70,31.3,38.11,No
2025,Oklahoma,43,22,42.3,81.59,No
2025,Oregon,29,12,35.3,98.64,No
2025,Purdue,19,20,19.3,98.94,No
2025,Robert Morris,140,148,152.3,0.0,No
2025,Saint Francis,297,287,306.3,0.0,No
2025,Saint Mary's,21,43,25.3,96.87,No
2025,San Diego St.,52,52,51.3,60.96,No
2025,SIU Edwardsville,213,250,225.0,0.0,No
2025,St. John's,13,25,13.0,99.9,No
2025,Tennessee,5,5,5.3,99.91,No
2025,Texas,38,28,42.0,61.65,No
2025,Texas A&M,18,13,20.3,99.4,No
2025,Texas Tech,7,15,7.3,99.83,No
2025,Troy,99,146,103.3,0.0,No
2025,UC San Diego,35,67,45.7,61.96,No
2025,UCLA,26,11,26.3,98.22,No
2025,UNC Wilmington,102,174,108.3,0.0,No
2025,Utah St.,37,51,48.0,73.16,No
2025,Vanderbilt,48,36,49.0,66.12,No
2025,VCU,30,69,30.7,74.65,No
2025,Wisconsin,14,17,13.7,99.7,No
2025,Wofford,131,137,134.7,0.0,No
2025,Xavier,44,60,39.7,55.99,No
2025,Yale,72,127,73.3,0.08,No
2024,Akron,106,131,111.5,0.0,No
2024,Alabama,10,31,11.5,99.35,No
2024,Arizona,4,10,5.5,99.87,No
2024,Auburn,5,45,4.0,99.42,No
2024,Baylor,13,8,13.5,99.73,No
2024,Boise St.,27,17,43.5,86.45,No
2024,BYU,12,19,16.5,98.42,No
2024,Clemson,35,23,31.5,94.27,No
2024,Colgate,125,157,128.0,0.0,No
2024,College of Charleston,96,125,97.5,0.01,No
2024,Colorado,25,55,35.5,83.64,No
2024,Colorado St.,36,34,54.5,71.99,No
2024,Connecticut,2,2,1.5,99.98,Yes
2024,Creighton,11,9,10.0,99.74,No
2024,Dayton,23,65,31.5,87.95,No
2024,Drake,47,62,52.0,39.02,No
2024,Duke,9,21,8.0,99.72,No
2024,Duquesne,81,64,90.0,0.42,No
2024,Florida,28,16,23.5,98.74,No
2024,Florida Atlantic,38,63,38.0,62.2,No
2024,Gonzaga,17,53,15.5,95.32,No
2024,Grambling St.,279,234,279.0,0.0,No
2024,Grand Canyon,50,99,57.0,7.76,No
2024,Houston,1,3,1.5,99.97,No
2024,Howard,273,272,267.0,0.0,No
2024,Illinois,15,13,11.0,99.82,No
2024,Iowa St.,6,4,5.5,99.86,No
2024,James Madison,53,91,52.5,24.78,No
2024,Kansas,21,11,21.0,99.42,No
2024,Kentucky,19,12,19.5,99.4,No
2024,Long Beach St.,170,201,167.5,0.0,No
2024,Longwood,163,231,148.5,0.0,No
2024,Marquette,14,7,13.0,99.78,No
2024,McNeese St.,56,101,56.0,3.37,No
2024,Michigan St.,24,47,19.0,85.74,No
2024,Mississippi St.,31,35,29.5,91.96,No
2024,Montana St.,208,264,247.0,0.0,No
2024,Morehead St.,108,153,106.0,0.0,No
2024,Nebraska,34,50,33.0,89.01,No
2024,Nevada,33,22,45.5,93.28,No
2024,New Mexico,22,40,33.0,89.44,No
2024,North Carolina,8,5,10.0,99.91,No
2024,North Carolina St.,63,36,57.5,19.95,No
2024,Northwestern,52,43,42.5,76.47,No
2024,Oakland,126,106,134.0,0.0,No
2024,Oregon,59,39,58.5,37.55,No
2024,Purdue,3,1,3.0,99.96,No
2024,Saint Mary's,16,29,17.5,97.23,No
2024,Saint Peter's,187,210,192.0,0.0,No
2024,Samford,74,113,89.0,0.08,No
2024,San Diego St.,20,33,27.5,97.98,No
2024,South Carolina,51,24,51.5,97.46,No
2024,South Dakota St.,135,228,143.0,0.0,No
2024,Stetson,209,212,198.0,0.0,No
2024,TCU,42,32,29.0,84.07,No
2024,Tennessee,7,6,7.0,99.89,No
2024,Texas,30,27,25.0,93.16,No
2024,Texas A&M,44,14,39.5,83.23,No
2024,Texas Tech,26,15,25.0,97.18,No
2024,UAB,105,102,112.5,0.01,No
2024,Utah St.,39,52,58.0,95.83,No
2024,Vermont,102,126,92.5,0.01,No
2024,Virginia,54,56,62.0,38.68,No
2024,Wagner,290,304,283.0,0.0,No
2024,Washington St.,45,28,42.0,86.43,No
2024,Western Kentucky,136,204,145.0,0.0,No
2024,Wisconsin,18,18,17.5,98.88,No
2024,Yale,83,123,72.0,0.05,No
2023,Alabama,2,3,2.7,99.9,No
2023,Arizona,10,7,9.3,99.8,No
2023,Arizona St.,66,32,70.0,43.9,No
2023,Arkansas,21,37,18.7,88.1,No
2023,Auburn,32,49,27.3,84.9,No
2023,Baylor,15,4,13.3,99.8,No
2023,Boise St.,27,35,44.7,83.7,No
2023,Colgate,101,165,106.3,0.0,No
2023,College of Charleston,51,110,69.3,9.5,No
2023,Connecticut,8,19,5.3,99.6,Yes
2023,Creighton,17,40,11.7,97.9,No
2023,Drake,54,83,58.7,3.9,No
2023,Duke,16,28,17.3,99.0,No
2023,Fairleigh Dickinson,301,329,303.0,0.0,No
2023,Florida Atlantic,13,59,34.0,96.0,No
2023,Furman,88,150,87.0,0.0,No
2023,Gonzaga,6,17,6.7,99.8,No
2023,Grand Canyon,104,107,104.3,0.0,No
2023,Houston,1,13,1.0,99.9,No
2023,Howard,214,203,219.7,0.0,No
2023,Illinois,34,43,30.0,81.0,No
2023,Indiana,30,15,22.0,98.6,No
2023,Iona,59,161,69.0,0.0,No
2023,Iowa,39,30,33.3,75.9,No
2023,Iowa St.,20,6,26.7,98.4,No
2023,Kansas,9,1,8.3,99.9,No
2023,Kansas St.,23,8,26.0,99.5,No
2023,Kennesaw St.,114,136,136.7,0.0,No
2023,Kent St.,57,118,70.3,1.2,No
2023,Kentucky,25,20,20.7,98.2,No
2023,Louisiana Lafayette,89,129,96.0,0.0,No
2023,Marquette,12,9,12.3,99.8,No
2023,Maryland,31,46,22.0,85.9,No
2023,Memphis,29,34,27.3,96.5,No
2023,Miami FL,35,42,36.7,98.0,No
2023,Michigan St.,33,31,33.0,93.3,No
2023,Mississippi St.,48,36,48.7,50.6,No
2023,Missouri,42,22,54.0,93.4,No
2023,Montana St.,103,131,116.3,0.0,No
2023,Nevada,37,48,64.7,24.2,No
2023,North Carolina St.,45,70,48.7,55.5,No
2023,Northern Kentucky,154,177,155.7,0.0,No
2023,Northwestern,41,14,41.0,94.1,No
2023,Oral Roberts,36,114,72.0,1.5,No
2023,Penn St.,49,21,44.3,84.0,No
2023,Pittsburgh,67,57,68.0,71.2,No
2023,Princeton,116,141,116.3,0.0,No
2023,Providence,55,47,40.0,50.6,No
2023,Purdue,5,5,7.0,99.9,No
2023,Saint Mary's,11,45,15.7,97.8,No
2023,San Diego St.,14,26,22.0,98.6,No
2023,Southeast Missouri St.,242,298,256.3,0.0,No
2023,TCU,28,12,24.7,98.2,No
2023,Tennessee,4,18,6.0,99.4,No
2023,Texas,7,2,5.7,99.9,No
2023,Texas A&M,18,16,16.3,98.6,No
2023,Texas A&M Corpus Chris,174,241,193.0,0.0,No
2023,Texas Southern,292,307,287.0,0.0,No
2023,UC Santa Barbara,100,120,110.7,0.0,No
2023,UCLA,3,10,3.0,99.9,No
2023,UNC Asheville,140,138,145.3,0.0,No
2023,USC,50,50,42.0,59.2,No
2023,Utah St.,19,60,32.7,68.6,No
2023,VCU,58,89,59.0,5.8,No
2023,Vermont,109,137,104.0,0.0,No
2023,Virginia,26,33,28.3,99.2,No
2023,West Virginia,24,25,20.3,93.3,No
2023,Xavier,22,11,17.7,99.5,No
2022,Akron,127,139,121.7,0.0,No
2022,Alabama,30,11,23.0,97.5,No
2022,Arizona,2,14,2.3,100.0,No
2022,Arkansas,20,10,19.0,99.5,No
2022,Auburn,11,12,11.3,99.8,No
2022,Baylor,4,4,5.0,99.9,No
2022,Boise St.,29,24,39.7,92.9,No
2022,Bryant,200,188,184.7,0.0,No
2022,Cal St. Fullerton,153,196,161.0,0.0,No
2022,Chattanooga,63,108,73.7,1.0,No
2022,Colgate,128,194,120.3,0.0,No
2022,Colorado St.,28,34,49.3,95.4,No
2022,Connecticut,17,29,17.3,98.7,No
2022,Creighton,55,22,55.3,82.7,No
2022,Davidson,41,74,48.7,58.1,No
2022,Delaware,137,155,147.0,0.0,No
2022,Duke,12,20,11.3,99.7,No
2022,Georgia St.,159,186,143.0,0.0,No
